total_sqft,floors,buildup_sqft,basement_sqft,price
10281,2,2730,0,780000
10202,1,1620,500,755000
4343,2,2490,0,705380
7712,1,1210,780,627000
9892,2,3690,0,865000
7000,1,1320,1220,580000
36704,1,1360,440,410000
7048,1,1340,1000,485000
9519,1,2110,0,400000
5400,1,1140,0,549000
2185,2.5,1480,0,620000
1240,2,1140,270,405000
8063,1,1200,0,232000
13806,2,3180,0,800866
9000,1,1400,760,650000
5000,2.5,2780,140,823000
5700,1.5,1810,540,770000
5520,1,780,780,524000
8426,1,1370,1370,541125
2000,3,1680,0,670000
12750,1,1750,1340,384900
1332,3,1410,0,406100
8510,2,2850,1160,1395000
21904,2,3180,0,736500
6000,1,1330,680,570000
7500,1,1330,0,787000
6500,2,2370,0,328000
9240,1,1540,300,435000
6479,2,2910,0,499000
7519,1,1160,910,501000
141570,2.5,4340,0,1090000
5510,1,840,0,400000
9600,1,1240,0,220000
4240,1,1050,340,657100
5000,2,2310,0,309950
10072,1,1050,0,300000
71874,1,1810,740,525888
3600,1.5,2010,0,740000
9022,1.5,1120,0,340000
4000,2,2230,0,398750
7158,1,810,0,206000
16920,1,1690,1500,1030000
39639,1,1670,0,600000
9389,1,1140,830,379950
6000,1,1450,0,287000
307752,3,9410,4130,2280000
7838,2,1880,0,309950
6360,1,1040,840,600000
6030,1.5,1410,0,418000
3844,1.5,1480,0,449250
5250,1.5,1140,0,329950
9306,1,1000,920,245000
6338,2,2910,0,549000
7857,2,3240,0,800000
15040,1,1550,0,249950
10200,1,1430,620,210000
4000,2,2220,0,1425000
8640,1.5,1520,250,585000
11700,1,1960,340,615000
5000,1,1080,720,618500
9211,1,1470,540,487585
2700,2,1790,0,509900
6651,2,2440,0,631625
3211,2,1940,0,555000
1438,2,1160,0,340000
9692,2,3400,0,830000
5750,2,3410,1010,890000
2017,3,1571,0,366750
998,2.5,1540,80,415000
989,3,1408,0,416286
4535,2,3040,0,478000
6000,2,3200,1290,890000
1426,2,1590,0,419190
4247,2,2450,0,712198
7680,1,1200,240,397000
3000,1.5,1100,0,450000
7740,1,860,490,353000
37981,2,2150,0,609000
8366,1,1010,480,234000
7000,2,2000,0,561000
4400,1,1030,0,469000
6687,1,720,0,329350
5000,1.5,2020,0,488000
8151,1,1100,480,279900
13850,2,2110,0,606000
7054,1,1300,0,312000
7475,1,1160,470,650000
8103,1,1970,1400,1135000
6156,1,980,910,325000
7983,1,1520,0,425000
5160,1,900,0,219000
6874,1,1050,0,250000
6500,1,1260,0,390000
117612,1.5,3470,0,475000
12047,2,2290,0,736000
23400,1,1710,1100,407000
13816,2,1650,0,272000
14374,1,1140,500,362000
10109,2,1850,0,535000
5390,2,2000,0,284000
9647,1,1410,0,367500
11600,1,1000,500,379900
54885,2,2460,0,520000
7034,1,1010,0,175000
929,2,1020,210,460000
3826,2,2331,0,345000
7770,1,1340,900,455000
10117,1,1580,870,610000
15480,2,2400,700,563000
5000,1,1030,1030,612500
7684,1,1320,530,218000
10720,1,960,880,404000
32417,2,3740,0,860000
8580,1,1420,0,136500
6083,1,860,650,313950
6500,1,1170,960,575000
6906,2,2280,1210,1225000
11800,1,1630,0,280000
7167,2,1790,0,515000
5684,2,2000,0,513000
29930,2,1400,860,599000
7864,2,3030,0,685000
8160,1,1310,0,365000
14550,2,3880,0,762300
10920,1.5,2400,1360,1580000
8111,2,3040,0,562000
9636,1,1690,1220,530000
11985,1,1770,1200,525000
6000,1,1160,500,484000
12369,2,3200,0,725126
18768,1,2680,0,360000
9568,1,1230,0,387000
45732,2,2740,0,483500
8330,2,3380,0,655500
6250,1,1110,0,345000
3780,1.5,1400,400,533000
5520,1,1280,620,385000
36478,1,930,0,675000
7735,1,1060,630,197000
4080,1.5,1420,0,485000
15175,2,4510,0,1870000
8000,1,1560,420,295000
2400,1,740,430,499000
1970,2,1610,590,1050000
8850,1,800,0,191000
1171,3,1480,0,500000
5000,1,1310,1580,390000
4047,3,2690,0,979000
8327,2,3569,0,580000
1320,3,1270,0,369950
10279,2,3930,560,1800000
6425,2,3040,0,776000
1249,3,1170,0,519950
8632,1,1030,1030,255000
6000,1,990,0,495000
5203,2,2430,0,510000
103382,2,4460,0,1150000
10122,1,1250,0,253000
6760,1,1210,330,503000
7000,2,1600,0,275000
8423,1,1110,0,249000
10723,1,1220,620,310000
5401,1,1360,1160,750000
327135,2,2680,0,630000
6988,2.5,2450,1380,599999
9549,1,1780,630,758000
10018,1,1720,0,248500
37904,1,1420,650,310000
9055,2,1760,0,460000
10500,1,1680,0,675000
2400,1.5,1550,0,526000
60392,2,3180,940,560000
9548,2,1830,0,415000
7410,1,1400,0,246000
12381,1,1870,0,314500
8856,2.5,4760,1450,3200000
3500,1.5,1040,0,420000
149410,1.5,2720,0,535000
9360,1,1010,0,350000
9147,1,1210,370,515000
6050,2,1960,640,749950
9180,2,1920,0,230000
5080,1.5,1780,570,568000
4373,1,820,280,250000
13695,1,1280,1230,581000
108366,2,3240,0,651000
108900,1,1860,600,600000
3885,1.5,1010,0,500000
2723,1,820,0,475000
8560,1,1620,800,352000
8165,2,1770,0,420000
3900,1,1350,0,428000
4788,1,1090,870,599000
16164,1.5,2245,1060,492000
5663,1,1720,830,630000
226076,2,3170,960,900000
13300,1,1890,420,1110000
5000,1,1650,0,575000
4316,1.5,1520,1130,705000
5940,1,1470,420,940000
8000,1,2190,0,313000
6500,2,2030,0,618080
5175,2,2130,140,640000
4160,1,1010,600,485000
3001,1,760,0,300000
17335,1,840,800,379500
12295,2,1630,0,339950
6480,2.5,3560,0,1500000
5500,2,2440,520,1340000
37565,1,1940,0,500000
7566,1,1410,0,239900
16986,1,1040,0,314950
6400,1,820,0,361280
22000,1,910,0,100000
7647,2,3700,0,540000
11200,1,2180,0,480500
4271,2,1600,0,280000
6180,1,1060,440,440000
4284,1,1080,260,530000
13374,1,1860,0,560000
7200,1.5,1600,940,775000
13100,1,1040,0,160000
11130,1,1380,0,209950
10762,1,1130,510,226500
6000,1,1500,1500,380000
13000,1,1320,820,409500
6428,1,980,780,690000
8307,1,1660,0,405000
13042,2,1830,0,375000
8556,1,1210,1000,794154
6600,1,1490,0,185000
1270,2,1040,220,245000
8076,2,3400,870,1532500
8391,2,3900,0,1040000
1027,3,1150,0,425000
21195,2,2656,0,495000
5003,1,1410,1000,365000
1452,3,1606,0,417250
681,3,820,0,339950
6872,1,820,720,615000
8354,2,2090,0,403000
11470,1,1780,1380,980000
8320,1,1230,500,258000
4080,1,1170,500,533000
4630,2,2550,0,537500
9601,1,1970,1070,830000
4620,1.5,1150,100,712000
6236,2,2020,0,262000
5500,2,2660,0,753888
5000,2,980,0,134000
8000,1,1290,670,402000
5040,1,720,0,205000
1349,2,1050,310,553650
4950,1,1870,0,559950
8800,1,1100,1030,260000
6509,2,1810,0,270000
89298,1,1100,1100,295000
4500,1.5,1690,0,719000
8547,1,1460,480,266000
6270,2,2320,0,325900
26036,1,1160,900,647500
5000,2,2190,1220,1039000
41688,2,2250,0,569000
7399,1,1390,0,246000
4960,1,1060,0,515000
8995,1,1490,0,207000
9195,1,1390,1090,780000
20828,1.5,2440,0,489990
87625,1.5,1480,760,335000
7229,2,1920,0,295000
9920,1,1230,660,385000
13515,1,2150,100,350000
3008,1,650,620,235000
1808,2,960,0,358000
6465,2,3290,0,716500
6120,1,1100,900,228000
8155,1,1020,0,405000
9600,1,1220,620,538000
6760,1,1980,0,530000
5760,2.5,3510,0,1750000
3600,1.5,1230,0,636000
65836,2,2280,0,535000
12757,1,1340,1090,1500000
3942,3,2920,0,868500
2850,1.5,1540,740,530000
43560,1,1510,0,450000
6000,1,790,160,230000
3000,2,1190,0,229000
9282,1,1310,0,437000
3200,1.5,1910,890,1307000
3354,2,1750,0,595000
5750,1.5,1320,0,660000
7350,2,2460,0,347500
10800,1,1240,0,297950
7964,1,1260,0,245000
15600,1.5,1970,850,543200
24166,2,3310,510,1250000
1614,3,1470,70,413450
435600,1.5,1550,0,330000
7700,1,1460,0,424500
16000,1,1390,0,230000
4080,2,1840,800,930000
9620,1,1590,0,349000
6960,1.5,1910,0,835000
16807,2,2015,0,988500
1197,3,1410,0,500000
957,2,930,180,499000
1277,2,860,0,321950
4729,2,2310,0,494000
1060,3,1020,0,441750
1179,2,980,0,438000
37769,2,4230,0,985000
11050,1,1640,0,352000
13592,1,2560,1250,839900
10819,2,2790,0,765000
5500,1.5,1050,700,460000
8355,1.5,1430,0,224500
4597,2,1850,0,254000
28717,1,960,0,255000
45302,1,1620,860,610000
11025,2,3750,0,920000
11951,2,2600,0,402500
8700,1,840,550,280950
7753,2,2260,0,604000
7447,2,2470,0,565000
7980,1,810,0,255000
6000,1,1000,650,445000
11665,1.5,3000,0,2400000
18000,1,720,0,195000
48257,1,1390,0,275000
1606,2,1300,145,387000
3300,1.5,1130,710,490000
5824,2,2100,0,505000
10464,1,1060,0,303500
6337,1,1500,0,270000
7213,1,1170,800,323000
1253,3,1410,0,382000
9450,1,1960,1760,1370000
14439,1,1180,1010,280000
8075,1,1510,410,260000
8320,1,1160,0,201500
52889,2,4910,950,1157200
4000,1.5,1450,550,536500
5883,2,2163,0,248000
57499,1,2340,1140,532000
6268,2,2840,0,580000
4400,1,1150,0,463000
3773,2,2000,1100,742500
14850,1,1020,400,260000
32496,1,2430,0,590000
7452,1,1430,500,312000
10140,1,1370,290,566000
7293,1,1400,0,511555
4000,2,2660,0,583000
13300,1,1200,800,290000
8078,1,1380,750,311100
1694,3,1352,0,325000
11340,1,1300,450,491300
8100,1,1160,1160,315000
81892,1,1180,240,360000
3784,2,1940,0,330000
4800,1,1410,0,481450
9948,1,1360,0,234950
7250,1,1220,0,251000
20345,2,1980,850,782000
10308,2,3780,0,833000
14289,2,2330,0,542500
107290,2,3560,0,851000
70800,1,1470,0,325000
48787,2,3060,0,415000
6127,1,880,150,252500
9653,1,1930,0,465000
120661,1,1780,0,336900
9202,2,2000,0,225000
9583,1,1690,0,270000
23716,2,3390,1800,1702500
5413,1.5,1300,0,536000
29252,2,2400,0,585000
6634,1,860,290,445000
7490,2,2310,0,320000
3047,2,2400,330,769900
4500,2,2840,0,557000
1525,2,1020,0,212000
1384,3,1340,0,376000
159430,2,3540,0,800000
130017,2,6420,850,2238888
904,2,798,200,324000
7015,1,1600,1460,549900
6969,2,2130,0,320000
6000,1,1400,1120,875000
9533,1,1080,860,265000
1250,3,1270,80,394950
5298,2.5,2160,0,842500
1350,2,1010,360,368000
101930,1,3890,1530,1225000
5000,2,2830,0,885000
2287,2,1390,620,453246
12090,2,3300,0,927000
1391,2,870,360,490000
7119,1.5,1720,0,341000
2451,1,810,0,235000
8078,1.5,1560,0,1200000
216777,1,2560,0,560000
38412,2,3420,1280,900000
2500,1,770,450,255000
20150,1,2360,1290,1575000
12508,1.5,1650,520,876650
228254,1,1450,1090,540000
4500,1.5,910,0,350000
4930,2,2890,90,750000
4650,1,1190,930,582000
3997,2,2560,900,1315000
10090,1,1300,1180,372500
16921,2,2200,0,410000
5500,1,1010,720,360000
34527,1,1800,1120,1015000
8012,1,990,0,225000
6887,2,3040,0,647000
258746,1.5,3200,1330,950000
8470,1,1370,0,185000
4927,2,1940,0,335000
2643,2,720,320,210000
8623,1,1360,440,522000
5000,1,1720,0,770000
6380,1,760,220,499950
6142,2,3110,0,751000
7715,1,1250,850,330000
11358,1,1190,830,465000
11914,1,2350,0,850000
12329,1.5,3290,0,947500
7813,2,2180,0,302000
1334,3,1290,0,500000
9750,1,1460,0,201000
2828,2,1290,0,265000
3150,1.5,1690,660,870300
8100,1,1080,0,339000
13463,2,2670,0,690000
5759,2,2840,840,788000
8040,1,960,480,315275
4800,1,1030,910,505000
9898,1,1280,0,368000
27144,1.5,2180,800,947500
8580,1,970,0,156000
5000,1.5,1640,470,610000
1369,3,1480,0,420000
10540,1,700,0,192000
6120,1,1350,1350,910000
9687,2,2330,0,1300000
20021,1,1690,1690,1346400
2750,1.5,1620,980,840000
8100,1,860,500,300000
6369,1,1590,1190,505000
53143,1,1250,0,110000
8950,2,2620,0,746000
7620,1,1350,0,211000
3340,1,1200,1200,675000
5000,1.5,1680,1080,734200
16028,1,1870,1200,1225000
28593,1.5,2040,0,615000
6000,2,1770,0,630000
9170,2,3490,0,1264000
1333,2,830,0,301500
895,2,670,310,369000
1433,3,1570,0,635000
5187,2,3110,160,1033888
6223,2,2160,0,383000
11000,2,2320,960,1050000
7685,2,3360,0,455000
7119,2,3150,0,819900
1846,2,1440,370,625000
7140,2,2740,0,651000
35000,1,2130,1700,480000
5283,2,3190,0,757000
10450,1,1390,960,460000
8165,1,1610,900,267345
4950,1,1680,0,530000
6610,1,960,810,449500
7315,1,1090,0,289000
5710,2,3001,0,373000
4591,2,2450,0,525000
59677,2,2440,1170,777000
7500,1,1200,1050,550000
7735,1,1240,0,523000
6000,1,1430,830,628000
8164,1,1070,1020,581000
7902,1,1220,800,245000
5000,1,980,980,415000
16672,2,3120,0,1895000
7500,1,1250,0,225000
9600,1,1170,320,287000
2370,2.5,2290,600,799200
33888,1.5,1900,0,239950
2400,1,870,810,591000
8398,2,2030,0,700000
8700,1,2260,1480,475000
11750,1,1180,400,575000
6120,1.5,1390,390,771000
6232,1,910,0,155000
8100,2,3440,0,550000
13750,2,1740,0,645000
8970,1,1700,1700,464000
16625,2,4400,0,1050000
14298,2,2010,0,350000
38180,2,2710,0,591000
26211,2,4570,730,2555000
3880,1,1090,220,717000
12559,1.5,1950,0,225000
6535,1,1040,0,225000
7200,1,1090,0,345000
5360,1,650,0,230000
6600,1,740,740,385000
2640,1,790,0,90000
11119,1,2290,1270,860000
5548,2,3000,0,675000
7494,2,3490,0,975000
10495,1,2340,0,780000
8254,1,1060,590,370000
5820,1.5,1150,790,665000
9600,1,1870,1540,675000
4050,1.5,1710,0,620000
4000,2,1930,810,1105000
892,2,1040,210,450000
42180,1,2450,0,450000
8190,1,1690,0,530000
13320,1,1370,580,635000
7125,1,1190,1100,580000
17458,1,2000,1370,1550000
8640,1,1090,0,285000
9486,1,1190,0,375000
7924,2,3530,0,1400000
5000,2,1440,0,560000
13529,1,1090,1090,405000
6000,1,810,600,413000
8251,2,1950,0,287600
23723,2,3820,1040,1680000
7210,1,1100,560,225000
12823,1,1390,0,319000
14200,1,1350,0,322500
5401,1,1530,0,570000
5112,1,1270,0,465000
6355,2,2140,0,435000
5616,2,2040,0,502000
5086,2,2360,516,525000
1161,2,1010,570,525000
5196,2,3400,0,660000
6773,2.5,2650,870,870000
4861,2,2210,0,650000
5602,2,2790,0,505000
5008,1,840,610,330000
4980,1,860,760,385000
1086,3,1220,0,306000
5000,1,1110,890,546000
7350,2.5,2190,0,925000
8250,1,950,950,542000
4400,1.5,1700,0,800000
3832,2,1760,780,620000
8925,1,1170,0,175000
31675,1,4490,1284,740000
15003,2,2120,0,345000
26460,1,1450,720,510000
15002,1,2450,0,530000
5200,1,700,0,155000
7214,1,1400,380,266000
8250,1,1150,700,257200
5706,1,1570,0,265000
5500,1,980,310,372220
7314,1,1000,700,337500
4800,1,1159,0,582500
9600,1.5,1850,0,489200
3522,1,840,0,405100
1618,2,1150,540,372977
9876,1,1050,0,310000
3825,1.5,1100,300,538000
7200,2,2550,0,1400000
5011,2,1840,0,317000
6750,2,1930,430,702500
14667,2,2240,0,565000
4004,2,2700,0,723000
30007,1.5,3030,0,766950
5120,1.5,1830,0,682000
6049,2,2220,0,325000
7640,1,1360,730,543000
6120,1.5,1600,0,525000
8625,1,1340,670,364000
4000,1,830,0,394475
7226,2,2010,0,316000
5402,1.5,1050,0,339950
39449,1,1420,730,486000
11900,1,860,0,160000
20553,1,3100,0,930000
17334,1,1100,0,139000
8000,1,1830,0,562000
34395,1,1250,0,299000
4883,2,1820,0,511000
42689,1.5,2090,0,499000
12384,2,2100,0,356000
14023,2,2310,0,470000
5649,1,1360,700,715000
60373,2,4470,0,1120000
7500,1,1060,600,458000
8019,2,3810,0,966000
10200,2,2110,0,305495
217800,1.5,1600,770,543000
3716,2,1970,0,340000
33305,2,2470,0,633100
7830,1,1480,0,310000
10117,1,1363,894,349950
6000,1,700,0,267800
9010,1,1050,580,234000
10157,2,3430,0,740000
6000,1.5,1420,800,607500
7473,1,1340,0,223000
2130,1,860,120,400000
13096,2,2580,0,802000
4541,2,2230,0,253000
11137,1,2290,0,1058000
8280,1,1260,0,300000
11180,1,1680,0,625000
7081,2,3200,0,707000
7644,2,3320,0,950000
24123,2,3040,0,420000
7375,1,1290,980,498000
17172,2,2910,0,450000
9887,2,2510,0,955000
7200,1,1240,0,215000
5200,2,2580,0,437000
3600,2,2470,0,773000
9444,1.5,3110,1800,1222500
5025,2,1690,0,256883
12032,1,2240,0,592500
7352,1,1160,490,252350
5880,2,2710,0,370000
10350,1,1260,0,465750
8100,1,1150,0,185000
7636,1,1440,1110,582800
6930,1,1490,0,245000
7865,1,1010,1010,302000
4520,1,1320,0,451555
10350,1,1230,0,250000
7800,2,2070,0,255000
11562,1,1670,1260,840000
8520,1,1090,0,190000
7066,1,1400,0,349950
4815,1.5,1550,0,613000
13000,1,1220,0,300000
7344,1,1470,400,455000
30476,2,2150,0,335000
3090,1.5,980,0,197500
8475,1,1490,0,412500
7000,1,1120,0,395300
9630,2,1180,0,342400
20301,2,3240,0,749400
6807,2,2150,0,316500
10800,2,2240,0,390000
7384,1,1150,250,225000
40887,1,1980,0,550000
20562,1.5,1330,0,280000
7535,2,3200,0,1255000
6000,1,1090,400,575000
16258,2,2900,1020,1000000
3750,2,2000,0,585000
9185,2,2680,0,620000
9987,1,1670,0,204700
9130,2,3150,0,695000
7266,2,2060,680,689900
8000,1,1250,640,375000
29699,1,1520,1350,475000
10384,1,1160,0,215000
19865,2,3550,0,2100000
6117,1,1350,440,790000
250470,1,1070,610,350000
17622,2,3800,760,695000
7748,2,1590,0,263000
10304,1,1630,0,400000
7434,2,2700,0,525000
7496,2,1700,0,349950
12080,1,2000,1740,1085000
5352,2.5,1980,0,744000
6345,1,880,0,312500
6200,1,700,700,240000
4000,1.5,1210,840,495000
4638,2,2360,0,580050
7798,1,1890,670,640000
10224,1,1340,0,417000
5200,1,1060,0,174950
2500,1,850,0,295000
7303,1,1010,870,423000
12305,1,1230,0,839000
10290,1,1340,950,343000
6582,1,1000,660,467000
2875,2,1840,0,512500
17810,1,1600,1420,575000
6886,1,1410,0,465000
9514,1,1010,0,270000
8136,1,980,980,340000
14275,2,3190,390,765000
7200,2,2240,0,497000
5404,2,3310,0,803100
1130,3,1232,0,344000
5680,2,2820,1110,828950
3600,2,1720,0,386380
974,2,1220,270,312000
151588,2,3150,0,720000
10856,3,3950,0,914500
10335,2,3030,0,819995
9643,1,1070,0,252700
36847,2,2320,0,437500
5100,1,700,0,350000
6439,2,2720,0,619000
5761,2,1800,0,408200
4049,1.5,1000,560,451000
11410,1,1060,700,317000
5000,2,2370,750,799000
7200,1,1700,320,720000
2400,1.5,1450,0,490000
7000,1,1120,740,239900
7800,1,1290,980,446000
15639,2,1480,0,275000
6032,2,1460,0,239950
6519,2,1130,720,248000
5000,2,2170,0,619500
197326,2,1726,0,363750
10541,1,940,240,385000
9957,1,900,470,370000
13218,1,2670,0,425000
6826,1,720,540,342000
7991,1.5,1980,0,345000
3933,1,1180,870,724800
5310,2,2830,0,725000
3600,1,910,0,605000
4000,2,2440,0,350000
5440,1,1100,1080,785000
6660,1,950,950,250000
1221,3,1520,0,565000
6641,1,1220,1000,875000
24440,2,3280,0,862500
83199,2,2740,0,400000
6017,1,830,0,282613
5200,1,1010,0,174500
38377,1,1560,500,306500
7340,2,1990,0,445000
7568,2,2280,0,433000
5874,2,1870,0,306000
4000,1.5,1450,270,620000
6150,1,870,0,245000
1204,2,720,300,238000
3135,1.5,1260,0,523000
7875,2,2370,0,522500
18513,1,1000,0,180000
1751,2,940,160,375000
7673,1,940,500,249000
14300,2,3120,0,730100
9604,1,2260,0,551000
7956,2,2790,0,375000
6700,1.5,1140,0,540000
2500,2,1290,0,605000
5200,1,1050,680,205000
11380,2,3160,0,645000
8990,2,2340,0,314000
4950,1,1170,0,330000
5000,1,1160,0,490000
24318,1,1970,0,445000
10862,2,3940,2550,2000000
1377,2,1290,120,377500
5000,2,2430,0,480000
5402,2,3360,0,804995
1663,2,1180,300,341000
6455,2,3200,0,675000
1984,2.5,2134,0,611000
1787,3,1860,0,379950
8313,2,3570,1950,1270000
1500,2,1160,150,500000
4250,1,890,810,410000
8342,2,2480,0,415000
8605,2,1970,0,297000
7475,1,1440,620,575550
3500,1,1210,920,534640
14110,1,1170,240,352500
4688,1,780,580,488000
55756,1,1940,0,732000
2040,2,1610,0,215000
9191,1.5,1420,0,592500
7280,2,1700,0,290000
3825,1,860,630,475000
7757,2,2680,0,320000
8684,1,1680,1510,1216000
7700,1.5,2120,0,290000
3250,1.5,1550,140,487250
8601,2,1830,0,339000
1968,1.5,1010,0,440000
9300,1,1120,950,366500
4500,1.5,1410,300,462000
4690,1.5,1260,400,560000
13629,1,1040,1040,285000
9675,2,1270,0,280000
21043,1,1080,0,210000
5100,1.5,1610,0,690000
9912,1,1120,0,256500
5257,2,2500,0,411000
7275,1,970,0,215000
5000,1.5,2140,1230,762000
189486,1,1290,0,359950
435600,2,3370,0,480000
10769,2,3410,0,1405000
8290,2,2490,0,390000
4000,1,770,0,413500
3211,2,810,0,285000
10043,1,1700,1360,475000
1613,2,1150,540,386591
3825,1,1290,600,524950
3128,2,1470,0,241000
7193,1,1060,0,461000
59242,2,3480,0,810000
3560,1.5,1550,1180,885000
7941,2,1580,0,247000
7900,1,1380,790,296500
4743,1,930,0,141800
7800,2,1580,0,333000
11900,1.5,3290,0,602000
10698,2,2110,0,565000
3565,2,1670,0,373000
7350,1,1190,840,588000
4100,1.5,1370,130,485000
1445,2,980,470,482500
8250,1,1060,250,251200
49222,2,2880,1300,869000
28600,1,1630,0,464000
10452,2,2660,0,755000
1916,2,1720,0,280000
1240,3,1260,0,485000
12247,1,1610,0,305000
8064,1,680,0,110700
5900,2,2640,0,850000
7200,2,1640,0,350000
8045,1,1650,660,319950
4905,1,1230,780,700000
4680,1,830,830,368000
3360,2,2200,0,433500
4200,2,2460,0,611000
23400,1,2430,0,1000000
7500,1,1370,0,307000
10200,1,1800,0,442500
7706,2,2200,0,485000
2334,1,700,0,367000
15124,2,1920,0,429000
12687,1,1370,820,446000
9791,1,1500,530,572500
2053,3,1350,0,477000
2096,2,1380,300,518000
10530,1,1250,0,462000
6000,1.5,1270,970,1190000
7620,1,950,0,137000
3174,2,2060,260,530000
9374,1,2380,0,818000
958,3,1540,0,640000
9752,1,1200,900,298450
4945,2,2500,0,575000
7331,2,3230,0,730000
5802,2,2830,0,551000
5340,1.5,870,0,271310
28300,1,2690,0,675000
889,3,1260,0,479000
10000,2,2040,640,520000
4975,2,2660,0,599950
5120,1,840,640,483945
33132,1,1190,580,390000
7692,1,950,0,192500
8308,1,860,0,330000
7560,1,1160,800,250000
5522,1.5,960,810,243000
6060,1,860,420,575000
12028,2,2150,0,639000
4000,1,1040,750,710000
10260,2,1990,0,675000
4781,2,2430,0,405000
13193,1,1860,960,615000
8190,1,1010,900,490000
1213,2,1040,230,467000
3960,1,1180,870,480000
4505,1,1270,880,755000
13300,1,1630,820,760000
1280,2,960,270,387000
41984,1,2260,0,925000
60113,1,1050,0,415000
7775,2,1570,0,263000
9350,1,1820,0,519900
4025,1,1190,350,570000
44866,1,2060,0,450000
74052,1,4380,0,1300000
9900,1,1090,0,300000
7225,1,1480,0,320000
4440,1.5,1320,0,387500
10350,1,1470,670,458000
16643,1,2230,2330,1212500
9764,2,2800,0,380000
5000,1,1050,0,200000
9630,1,1490,0,385000
6375,2,1730,0,396675
3760,1.5,1210,0,452000
8494,2,2800,0,426000
1050,2,1570,0,792000
31626,1,1140,260,315000
7861,1,1450,1400,1275000
7200,1,1880,0,326000
8424,1,790,0,268500
4000,2,1300,0,440000
7735,1,1060,1060,300000
4773,2,1540,0,525000
13777,1.5,1720,900,978000
3192,2,2180,700,1125000
4021,1.5,1680,0,700000
6969,1,790,0,315000
7500,1.5,1092,0,309000
9936,1,1090,560,219950
4700,2,2090,0,289000
28710,1,1180,1000,210000
6671,2,1990,0,260000
7945,2,2650,0,699000
16953,1,2550,1910,1800000
8000,1,740,170,299950
10773,2,2770,0,749950
6888,2,2390,0,1100000
158558,1,3050,0,555000
4000,2,1700,0,384000
43560,2,3200,0,499950
4500,1,1200,0,430000
6953,2,2220,0,350000
9041,2,2480,0,620000
12100,1,1760,800,765000
6300,1,1500,1000,250000
4000,1,1150,0,376000
7775,1,1150,500,475000
9628,1,1140,0,120750
8965,1,1820,1580,1690000
43124,1,1180,0,330000
4105,2,1700,0,619500
11200,1,1240,0,345000
12478,2,2890,0,598000
10050,1,1060,0,335000
10523,2,1590,0,372500
5682,2,2860,0,300000
1060,1,760,60,194000
8118,1,1020,1000,507500
9680,1,1170,700,325000
4905,2,2170,0,329900
6765,1,830,770,329000
4300,1.5,1250,840,494000
6025,1,1700,0,206000
6909,1,970,970,423000
8625,1,1320,0,259000
13875,1,1830,1670,879950
5120,2.5,2800,0,345600
2940,1.5,1080,0,395000
8048,2,3550,0,625000
251341,2,1510,500,439000
1468,2,1380,310,380000
1443,3,1270,0,440000
2377,2,1680,290,415000
8097,2,3160,0,860000
1200,3,1210,0,500000
5086,2,2480,640,953007
8765,2,2670,0,515000
1204,3,1640,0,772000
3680,2,2303,0,329995
3168,2,1800,0,409316
2975,3,3280,1180,490000
2656,2,1220,370,305000
4684,2,2190,880,785000
7200,1,1330,0,240000
6750,1,990,0,325000
5790,2,1900,0,535800
1159,3,2020,0,720000
9416,1,2000,0,374000
